textContents,textType,chartType
Public unemployment spending,title,
"Total, % of GDP, 1991 - 2015",subtitle,
0.7,axis_label,
0.6,axis_label,
0.5,axis_label,
0.4,axis_label,
0.3,axis_label,
0.2,axis_label,
0.1,axis_label,
1992,axis_label,
1994,axis_label,
1996,axis_label,
1998,axis_label,
2000,axis_label,
2002,axis_label,
2004,axis_label,
2006,axis_label,
2008,axis_label,
2010,axis_label,
2012,axis_label,
2014,axis_label,
Source: Social Expenditure: Aggregated data,caption,
Korea,legend,
Turkey,legend,
