textContents,textType,chartType
Renewable energy,title,
"Total, % of primary energy supply, 1992 - 2006",subtitle,
Source: Extended world energy balances,caption,
90,axis_label,
80,axis_label,
70,axis_label,
60,axis_label,
50,axis_label,
40,axis_label,
30,axis_label,
20,axis_label,
10,axis_label,
1992,axis_label,
1994,axis_label,
1996,axis_label,
1998,axis_label,
2000,axis_label,
2002,axis_label,
2004,axis_label,
2006,axis_label,
Ethiopia,legend,
Congo,legend,
Canada,legend,
Egypt,legend,
Poland,legend,
