textContents,textType,chartType
Secondary graduation rate,title,
"Upper secondary, Percentage, 2010 - 2018",subtitle,
Source: Education at a glance: Graduation and entry rates,caption,
85,axis_label,
80,axis_label,
75,axis_label,
70,axis_label,
65,axis_label,
60,axis_label,
55,axis_label,
50,axis_label,
45,axis_label,
Italy,legend,
Spain,legend,
Mexico,legend,
2010,axis_label,
2011,axis_label,
2012,axis_label,
2013,axis_label,
2014,axis_label,
2015,axis_label,
2016,axis_label,
2017,axis_label,
2018,axis_label,
