textContents,textType,chartType
Trade in goods and services forecast,title,
"DEC 2020 forecast - Import, Annual growth rate (%) , 1998",caption,
Source: OECD Economic Outlook: Statistics and Projections,caption,
20,axis_label,
18,axis_label,
16,axis_label,
14,axis_label,
12,axis_label,
10,axis_label,
8,axis_label,
6,axis_label,
4,axis_label,
2,axis_label,
0,axis_label,
Switzerland,legend,
Austria,legend,
Italy,legend,
Latvia,legend,
Iceland,legend,
4.8,annotation,
5.5,annotation,
8.8,annotation,
16.8,annotation,
21.9,annotation,
