textContents,textType,chartType
Triadic patent families,title,
"Total, Number, 1987 - 2003",caption,
Source: Patents by main technology and by International Patent Classification (IPC),caption,
Finland,legend,
India,legend,
Chinese Taipei,legend,
Turkey,legend,
Iceland,legend,
450,axis_label,
400,axis_label,
350,axis_label,
300,axis_label,
250,axis_label,
200,axis_label,
150,axis_label,
100,axis_label,
50,axis_label,
0,axis_label,
1988,axis_label,
1990,axis_label,
1992,axis_label,
1994,axis_label,
1996,axis_label,
1998,axis_label,
2000,axis_label,
200,axis_label,
