textContents,textType,chartType
Import value in million U.S. dollars,axis_label,
15 000,axis_label,
12 500,axis_label,
10 000,axis_label,
7 500,axis_label,
5 000,axis_label,
2 500,axis_label,
0,axis_label,
2015,axis_label,
2016,axis_label,
2017,axis_label,
2018,axis_label,
2019,axis_label,
2020,axis_label,
3 269,annotation,
6 605,annotation,
2 515,annotation,
7 486,annotation,
3 007,annotation,
7 505,annotation,
3 216,annotation,
7 950,annotation,
3 164,annotation,
8 514,annotation,
3 559,annotation,
9 527,annotation,
Fresh vegetables,legend,
Processed vegetables*,legend,
© Statista 2021,caption,
Show source,annotation,
Additional Information,caption,
