textContents,textType,chartType
Consumption in billion U.S. dollars*,axis_label,
1.75,axis_label,
1.5,axis_label,
1.25,axis_label,
1,axis_label,
0.75,axis_label,
0.5,axis_label,
0.25,axis_label,
0,axis_label,
2010,axis_label,
2011,axis_label,
2012,axis_label,
2013,axis_label,
2014,axis_label,
2015,axis_label,
2016,axis_label,
2017,axis_label,
2018,axis_label,
2019,axis_label,
1.45,annotation,
1.24,annotation,
1.16,annotation,
1.12,annotation,
1.02,annotation,
0.97,annotation,
0.92,annotation,
0.87,annotation,
0.85,annotation,
1.14,annotation,
Additional Information,caption,
© Statista 2021,caption,
Show source,caption,
