textContents,textType,chartType
Response,title,
Cost,title,
Reform,title,
Challenges,title,
3,title,
The crisis response paved the way for retirement savings to recover,title,
"1,600",axis_label,
"1,400",axis_label,
"1,200",axis_label,
"1,000",axis_label,
800,axis_label,
600,axis_label,
400,axis_label,
200,axis_label,
2007,annotation,
2008,annotation,
2009,annotation,
2010,annotation,
2011,annotation,
S&P 500 index,legend,
"16,000",axis_label,
"14,000",axis_label,
"12,000",axis_label,
"10,000",axis_label,
"8,000",axis_label,
"6,000",axis_label,
"4,000",axis_label,
"2,000",axis_label,
"Retirement fund assets
(billions of 2011 dollars)",axis_label,
Mar. 2008,annotation,
Sept. 2008,annotation,
"Oct. 3, 2008",annotation,
"Jan. 20, 2009",annotation,
Jun. 2009,annotation,
"May 7, 2009",annotation,
Feb. 2009,annotation,
"Mar. 3, 2009",annotation,
"Mar. 23, 2009",annotation,
"Apr. 2, 2009",annotation,
Bear Stearns collapses,caption,
Fannie Mae/Freddie Mac conservatorship,caption,
Lehman Brothers bankruptcy,caption,
AIG stabilization effort,caption,
TARP financial stabilization package passed,caption,
President Obama takes office,caption,
Large banks repay TARP funds,caption,
GM restructuring,caption,
Financial Stability Plan announced,caption,
Recovery Act signed,caption,
Housing programs announced,caption,
TALF program launched to help revive credit markets,caption,
PPIP program announced to help revive mortgage finance markets,caption,
Large bank stress test results released,caption,
G-20 finance ministers announce coordinated response to global financial crisis,caption,
Source: Federal Reserve Flow of Funds.,caption,
U.S. DEPARTMENT OF THE TREASURY,caption,
